Job Title,Company,City,State,Country,Date Posted,Skills and Qualifications,Responsibilities,Experience,Full Time,Remote,Contractor,On Site,URL
Entry Level Cyber Security Engineer,Codoxo,Duluth,GA,US,22/08/2024,"• Excellent communication skills to convey complex technical information effectively, Qualifications:
• Bachelor's degree in Computer Science, Information Technology, Cybersecurity, or a related field, • Strong analytical and problem-solving skills with attention to detail","Key Responsibilities: • Assist in implementing and maintaining security measures to protect computer systems, networks, and data. • Support the identification and remediation of security vulnerabilities through assessments and audits. • Monitor security systems, including firewalls, intrusion detection systems, and endpoint protection tools. • Collaborate with cross-functional teams to respond to security incidents and implement necessary incident response procedures. • Participate in the development and implementation of security policies, standards, and best practices. • Perform regular security assessments and penetration testing to identify potential weaknesses. • Document security processes, procedures, and findings accurately and comprehensively. • Stay updated on the latest cybersecurity trends, threats, and technologies to contribute valuable insights to the team.  Qualifications: • Bachelor's degree in Computer Science, Information Technology, Cybersecurity, or a related field. • Knowledge of basic networking concepts, operating systems, and security fundamentals. • Familiarity with security tools such as antivirus software, firewalls, intrusion detection systems, etc. • Understanding of common cybersecurity threats and vulnerabilities. • Strong analytical and problem-solving skills with attention to detail. • Experience with scripting or programming languages (e.g., Python, PowerShell, etc.). • Knowledge of cloud security principles and practices. • Understanding of regulatory compliance standards (e.g., GDPR, HIPAA, etc.). • Ability to work effectively in a team environment and willingness to learn and adapt to new technologies. • Excellent communication skills to convey complex technical information effectively.  Benefits for You  Health, Dental, and Vision insurance with 100% employee premium coverage (Starts Day 1)  Unlimited PTO  Annual Professional Development stipend  Annual home office stipend  401K Match (after 90 days)  We are an Equal Opportunity Employer:  Codoxo provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment.","• Experience with scripting or programming languages (e.g., Python, PowerShell, etc.).",No,No,No,No,"https://www.glassdoor.com/job-listing/entry-level-cyber-security-engineer-codoxo-JV_IC1155612_KO0,35_KE36,42.htm?jl=1009415931147&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Analyst - Compliance,MetTel,Holmdel,NJ,US,14/09/2024,"Additional criteria:
• Relevant certifications (e, Desired Skills and Experience:
• Bachelor's degree in information technology, business, risk management, or a related field, • Excellent written and oral communication skills, In order to achieve this, we offer an environment where all professionals can grow and develop their skills and competencies, collaborate with diverse professionals, share knowledge and enjoy a rewarding career","Key Responsibilities:  In this role, you will be responsible for maintaining risk management framework, vulnerability management, and configuration compliance for our core infrastructure as part of the security & compliance team. The Cybersecurity Analyst - Compliance will manage compliance for NIST800-53 moderate and high environments and ensure development, implementation as well as assessment of relevant security controls.  Additional key responsibilities include: • Perform technical assessments of systems and networks and identify deviation from acceptable configurations, enterprise policies, and local standards. • Identify security and compliance gaps, partnering with system owners and stakeholders to appropriately remediate. • Develop security documents, such as system security plan, contingency plan, configuration management plan, and incident response plan. • Develop, maintain, monitor, and improve appropriate internal controls and policies to protect systems and data. • Support third-party risk management efforts including supplier onboarding and periodic cyber assessments, to include risk analysis. • Participate in Risk Management Framework (RMF) Assessment and Authorization (A&A), specifically assessment and continuous monitoring activities. • Vulnerability management, specifically with vulnerability scan report findings and mitigation plans. • Support the analysis and review of the information security of systems to ensure compliance to security policies. • Conduct information assurance compliance testing using automated tools and manual tests. Use Nessus for vulnerability scanning and configuration baseline testing such as CIS benchmarks, database, and web application scanning. • Compile and correlate compliance testing results for weekly and monthly reporting, working with engineering staff to ensure that identified vulnerabilities are addressed. • Monitor and analyze security events and alerts from multiple sources, including security information and event management (SIEM) software, network and host-based intrusion detection systems, firewall logs, user reported incidents, and system logs (Windows and Linux), and databases. • Initiate incident notification, case tracking/management, recovery actions, and report status updates. • Participate in the remediation of incidents and responses that are generated from live threats against the enterprise. • Support follow-on actions, such as coordinating with other organization teams to facilitate remediation of the alert/event/incident, and close out the investigation. • Provide Incident Response (IR) support when analysis confirms actionable incident.  Desired Skills and Experience: • Bachelor's degree in information technology, business, risk management, or a related field. • 3+ years of experience in a security related role. • Proven experience in governance, risk management, or compliance roles. • Strong knowledge of regulatory frameworks, industry standards, and best practices related to GRC. • Proficiency in risk assessment tools, compliance management systems, and data analytics software. • Experience with vulnerability scanning tool Nessus or Tenable.io. • Experience maintaining POA&M. • Knowledge of incident response life cycle and steps. • Knowledge of TCP/IP protocols, network analysis, and network/security applications. • Excellent written and oral communication skills. • Initiative-taking and able to work in an independent manner.  Additional criteria: • Relevant certifications (e.g., CISA, CISSP, CRISC) are a plus. • Knowledge of: Strong Authentication, End Point Security, Internet Policy Enforcement, Firewalls, Web Content Filtering, Database Activity Monitoring (DAM), Public Key Infrastructure (PKI), Data Loss Prevention (DLP), Identity and Access Management (IAM) solutions  For more information about our company visit our website at  MetTel | Business Telecom Voice, Network & Mobility Services  Keywords: Cybersecurity Analyst, #Cybersecurity, #CybersecurityAnalyst, Cybersecurity Jobs Near Me, LinkedIn, Telecommunications, #TelecommunicationJobs, Verizon, T-Mobile, Network Security, #NetworkSecurity, ATT, Cybersecurity Compliance, #CybersecurityCompliance, New York, New Jersey, #CybersecurityJobsNearMe, Indeed, Google","MetTel is looking for a highly motivated and experienced Cybersecurity Analyst - Compliance to join our growing Security & Compliance team! Desired Skills and Experience: • 3+ years of experience in a security related role. • Proven experience in governance, risk management, or compliance roles. • Experience with vulnerability scanning tool Nessus or Tenable.io. • Experience maintaining POA&M.",No,No,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-compliance-mettel-JV_IC1126810_KO0,32_KE33,39.htm?jl=1009365457364&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Penetration Tester,Fusion Innovation,Chantilly,VA,US,24/09/2024,",
Required Skills
• 10+ years of experience in cybersecurity
• 8+ years of experience with penetration testing, including applying adversarial and computer attack methods and system exploitation techniques
• Experience applying Linux, Windows, and virtual platforms security principles
• Experience designing, testing, or implementing security architectures, enterprise systems, and hypervisors
• Experience performing network security and network architecture analyses
• Experience developing risk management methodologies and risk and threat mitigation plans
• TS/SCI clearance with Polygraph
• Bachelor's degree in Computer Science, Information Systems, Engineering, or other related technical discipline

,
Desired Skills
• Experience communicating vulnerability results and risk posture to senior executives
• Experience performing complex technical tasks with minimal direction
• Certified Ethical Hacker (CEH), Offensive Security Certified Professional (OSCP), or Global Information Assurance Certification Penetration Tester (GPEN) Certification

Please note that all applicants must be U",N/A,"• 10+ years of experience in cybersecurity • 8+ years of experience with penetration testing, including applying adversarial and computer attack methods and system exploitation techniques • Experience applying Linux, Windows, and virtual platforms security principles • Experience designing, testing, or implementing security architectures, enterprise systems, and hypervisors • Experience performing network security and network architecture analyses • Experience developing risk management methodologies and risk and threat mitigation plans • Experience communicating vulnerability results and risk posture to senior executives • Experience performing complex technical tasks with minimal direction Our primary focus is on developing people to further their own unique craft. This includes helping our team become more experienced leaders, learn a team-first mentality, strive for more innovation, be thought leaders, and better overall people. By putting our people first and treating them as family and helping to develop their careers in a unique and specific fashion, we’re not just giving them more opportunities to grow and be successful, we’re also raising the bar for what our customers, families, and communities receive.",No,No,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-penetration-tester-fusion-innovation-JV_IC1130353_KO0,32_KE33,50.htm?jl=1009293482505&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Analyst,UFP Technologies,Newburyport,MA,US,01/09/2024,"Cyber Security Analyst Qualification Requirements:
• Bachelor’s in cyber security or related discipline, • Security+ certification, • Coordinates projects related to cyber security such as CMMC certification","Cyber Security Analyst Duties and Responsibilities: • Studies evolving threats and other industry developments related to cyber security. • Researches / evaluates emerging cyber security threats and ways to manage them. • Plans for disaster recovery and creates contingency plans in the event of any security breaches. • Monitors for attacks, intrusions and unusual, unauthorized or illegal activity. • Tests and evaluates security products. • Designs new security systems or upgrades existing ones. • Uses advanced analytic tools to determine emerging threat patterns and vulnerabilities. • Runs internal security scans, coordinates mitigation and tracks results. • Investigates security alerts and is a part of the incident response team. • Monitors identity and access management, including monitoring for abuse of permissions by authorized system users. • Liaises with stakeholders in relation to cyber security issues and provides future recommendations. • Generates reports for both technical and non-technical staff and stakeholders. • Maintains an information security risk register and assists with internal and external audits relating to information security. • Creates and conducts employee training programs related to cyber security. • Monitors and mitigates 'phishing' emails and 'pharming' activity including conducting employee training and re-training. • Assists with the creation, maintenance and delivery of cyber security awareness training for colleagues. • Coordinates the creation and maintenance of cyber security policies and standards. • Responds and manages helpdesk tickets related to cyber security. • Coordinates projects related to cyber security such as CMMC certification.",• Hands-on experience. • 2+ years of cyber security experience. • Experience / familiarity with the following :,No,No,No,Yes,"https://www.glassdoor.com/job-listing/cyber-security-analyst-ufp-technologies-JV_IC1154635_KO0,22_KE23,39.htm?jl=1009153820348&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Strategist,Black Eagle Defense,Annapolis Junction,MD,US,24/09/2024,"Job Description

QUALIFICATIONS A high school diploma or GED plus 9 years of relevant experience, or an Associate's degree plus 7 years of relevant experience, or a Bachelor's degree plus 5 years of relevant experience, or a Master's degree plus 3 years of relevant experience, or a Doctoral degree and 2 years of relevant experience",N/A,"QUALIFICATIONS A high school diploma or GED plus 9 years of relevant experience, or an Associate's degree plus 7 years of relevant experience, or a Bachelor's degree plus 5 years of relevant experience, or a Master's degree plus 3 years of relevant experience, or a Doctoral degree and 2 years of relevant experience. A degree in Cyber Security, Information Assurance, or a related field is preferred, but a degree in any field is acceptable. Relevant experience must be in an area directly related to an NSA mission ( e.g., collection, cyber, and intelligence analysis) and/or a similar mission in the IC or DoD, and include strategic and/or operational level planning (e.g., joint operations). External engagement/collaboration experience (e.g., participation in cross-agency working groups, JDA, field assignments, and external customer support) is preferred.",No,No,No,No,"https://www.glassdoor.com/job-listing/cyber-security-strategist-black-eagle-defense-JV_IC1153524_KO0,25_KE26,45.htm?jl=1009293482173&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Engineer,Rackner,Charlottesville,VA,US,21/09/2024,"Technical Expertise:
• 6 years of experience providing cyber security support for IT systems
• Cloud technologies such as AWS and Azure, particularly Infrastructure as a Service
• Red Hat Enterprise Linux (RHEL) or Windows system administration

Experience/Qualifications:
• Bachelor's or Master's degree
• Minimum 7 years' experience working in Info Security
• Developed security standards and best practices and work as a technical expert across many projects
• Ability to supervise others if/as needed and provide mentorship to junior engineers
• Federal govt, Benefits/Additional Info:

Rackner embraces and promotes employee development and training and covers the cost of certifications relevant to a position and the technologies/services provided","Position Overview/Responsibilities: • The Senior Info Security Analyst will monitor the organization's networks for any security breaches and investigate/mitigate any issues. • Maintain software, firewalls, and data encryption programs to ensure sensitive information is protected. • Plan and lead major technology assignments, evaluate performance results, and recommend major changes affecting short-term project growth and success.  Technical Expertise: • 6 years of experience providing cyber security support for IT systems • Cloud technologies such as AWS and Azure, particularly Infrastructure as a Service • Red Hat Enterprise Linux (RHEL) or Windows system administration  Experience/Qualifications: • Bachelor's or Master's degree • Minimum 7 years' experience working in Info Security • Developed security standards and best practices and work as a technical expert across many projects • Ability to supervise others if/as needed and provide mentorship to junior engineers • Federal govt. experience supporting Army or DoD • Active TS clearance with SCI eligibility • IAT Level III or IAM Level III  Who We Are:  Rackner is a software consultancy that builds cloud-native solutions for startups, enterprises, and the public sector. We are an energetic, growing consultancy with a passion for solving big problems for both startups and enterprises. Each of us enable digital transformation for large organizations through the newest in distributed technologies as we are laser focused on end-to-end application development, DevSecOps, AI/ML and systems architecture and our methodology focuses on cloud-first and cost-effective innovation. Our customers hail from a diverse, ever-growing list of industries.  Benefits/Additional Info:  Rackner embraces and promotes employee development and training and covers the cost of certifications relevant to a position and the technologies/services provided. Fitness/Gym membership eligibility, weekly pay schedule and employee swag, snacks & events are offered as well! • 401K with 100% matching up to 6% • Highly competitive PTO • Great health insurance with large network of providers • Medical/Dental/Vision • Life Insurance, and short- & long-term disability • Industry-Leading Weekly Pay Schedule • Home office & equipment plan",• 6 years of experience providing cyber security support for IT systems Experience/Qualifications: • Minimum 7 years' experience working in Info Security • Federal govt. experience supporting Army or DoD,No,No,No,Yes,"https://www.glassdoor.com/job-listing/senior-info-security-engineer-rackner-JV_IC1130001_KO0,29_KE30,37.htm?jl=1009414768551&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cloud Cybersecurity,Power3 Solutions and Partnering Companies,Stevensville,MD,US,23/09/2024,"• Minimum experience required: 9 years

Desired Qualifications:
• Advanced understanding of TCP/IP, common networking ports and protocols, traffic flow, system administration, OSI model, defense-in-depth, and common security elements, QUALIFICATIONS:
• A candidate holding a relevant Master’s degree may be granted 2 years’ experience credit for that extra education","RESPONSIBILITIES: • Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. • Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. • May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. • May respond to computer security breaches and viruses. • Possesses and applies a comprehensive knowledge across key tasks and high impact assignments. • Plans and leads major technology assignments. • Evaluates performance results and recommends major changes affecting short-term project growth and success. • Functions as a technical expert across multiple project assignments. • May supervise others.  QUALIFICATIONS: • A candidate holding a relevant Master’s degree may be granted 2 years’ experience credit for that extra education. • A candidate holding a relevant PhD degree may be granted 4 years’ experience credit for that extra education. • HS and 13 years of experience; Associates and 11 years of experience. • Minimum experience required: 9 years  Desired Qualifications: • Advanced understanding of TCP/IP, common networking ports and protocols, traffic flow, system administration, OSI model, defense-in-depth, and common security elements. • Hands-on experience analyzing high volumes of logs, network data (e.g., NetFlow, FPC), and other attack artifacts in support of incident investigations. • Experience with vulnerability scanning solutions. • Familiarity with the DoD Information Assurance Vulnerability Management Program. • Proficiency with any of the following: Anti-virus, HIPS, ID/PS, Full Packet Capture, Host-Based Forensics, Network Forensics, and RSA Security.  This is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender, gender identity, national origin, disability, or protected Veteran status.","• A candidate holding a relevant Master’s degree may be granted 2 years’ experience credit for that extra education. • A candidate holding a relevant PhD degree may be granted 4 years’ experience credit for that extra education. • HS and 13 years of experience; Associates and 11 years of experience. • Minimum experience required: 9 years • Hands-on experience analyzing high volumes of logs, network data (e.g., NetFlow, FPC), and other attack artifacts in support of incident investigations. • Experience with vulnerability scanning solutions.",Yes,No,No,No,"https://www.glassdoor.com/job-listing/cloud-cybersecurity-power3-solutions-and-partnering-companies-JV_IC1153639_KO0,19_KE20,61.htm?jl=1009417980263&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Infrastructure Engineer,Microsoft,,,US,15/09/2024,")

Additional or Preferred Qualifications
• 6+ years experience in software development lifecycle, large-scale computing, modeling, cybersecurity, and/or anomaly detection
• OR Doctorate in Statistics, Mathematics, Computer Science or related field
• Experience in PowerShell and bash scripting
• Experience with third-party security products, including but not limited to, Splunk, CrowdStrike Falcon, QRadar, etc, Embody our Culture & Values

Qualifications

Required/Minimum Qualifications
• 5+ years experience in software development lifecycle, large-scale computing, modeling, cybersecurity, and/or anomaly detection
• OR Master's Degree in Statistics, Mathematics, Computer Science or related field","Responsibilities  Technical Delivery  This role will work as part of a collaborative team assisting our top customers with: • Ability to contextualize and prioritize adversary containment and recovery efforts across multiple workstreams • Ability to quickly build and execute a recovery plan as a response to large-scale impactful incidents involving ransomware and destructive adversarial campaigns • Deploying forensic collection tooling across a wide range of complex environments • Identifying potential threats – allowing for proactive defence before an actual incident • Providing recommendations to improve cybersecurity posture going forward • Performing knowledge transfer to prepare customers to defend against today’s threat landscape  Research  Security threats are constantly evolving, and so does the Microsoft Incident Response team. To that end, this role will involve: • Researching, analyzing, and summarizing security threats and response capabilities, sharing across the team • Identifying, conducting, and supporting others in conducting research into critical security areas, such as current attacks, adversary tracking, and academic literature • Creating and documenting new solutions to mitigate security issues • Recommending prioritization and validation methods for technical indicators, develops tools to automate analyses • Leads efforts to clean, structure, and standardize data and data sources; leads data quality efforts to ensure timely and consistent access to data sources  Thought Leadership  This role includes the ability to be at the forefront of Microsoft Security thought leadership by: • Developing written content for publication on Microsoft blog platforms • Developing presentations for delivery at internal and external conferences • Use the unique experiences of Microsoft Incident Response to create unique storytelling moments  Operational Excellence  Be maintained by: • Completing operational tasks and readiness with timeliness and accuracy. • Following Microsoft policies, compliance, and procedures (e.g., Enterprise Services Authorization Policy, Standards of Business Conduct, labor logging, expenses, travel guidelines). • Leading by example and guiding team members on operational tasks, readiness, and compliance.  Embody our Culture & Values  Qualifications  Required/Minimum Qualifications • 5+ years experience in software development lifecycle, large-scale computing, modeling, cybersecurity, and/or anomaly detection • OR Master's Degree in Statistics, Mathematics, Computer Science or related field. • 3+ years of experience with Threat Actor containment during an incident, rapid recovery of critical infrastructure (primarily Active Directory rebuild and restoration), and eviction of a Threat Actor after an investigation • 3+ years of Active Directory and associated components (Kerberos, NTLM, Group Policy, Backup and Disaster Recovery, DNS, AD tiering models, gMSAs) • Proficiency in one or more query languages (KQL, SPL, SQL, etc.)  Additional or Preferred Qualifications • 6+ years experience in software development lifecycle, large-scale computing, modeling, cybersecurity, and/or anomaly detection • OR Doctorate in Statistics, Mathematics, Computer Science or related field • Experience in PowerShell and bash scripting • Experience with third-party security products, including but not limited to, Splunk, CrowdStrike Falcon, QRadar, etc. • Experience with Microsoft Public Key Infrastructure (PKI) implementations, Active Directory Federation Services (AD FS) • Understanding and working knowledge of the Linux and MacOS platforms • Experience with two or more of Microsoft’s portfolio of Artificial Intelligence (AI) products such as Security Copilot, Bing Copilot, Github Copilot, Office Copilot and Windows Copilot • Understanding of DevOps, concepts such as Version Control, Infrastructure as code, CI/CD Pipelines, Frameworks, Configuration Management and Continuous Monitoring. • Experience with management of virtualization platforms such as Hyper-V, VMware, etc. • Experience with IP network management including routing, firewalls, access control lists, DHCP, packet analysis, and troubleshooting network traffic flow  Security Research IC4 - The typical base pay range for this role across the U.S. is USD $117,200 - $229,200 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $153,600 - $250,200 per year.  Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/us/en/us-corporate-pay  Microsoft will accept applications and processes offers for these roles on an ongoing basis.  Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.","With over 18,000 employees worldwide, the Microsoft Customer Experience & Success (CE&S) organization is responsible for the strategy, design, and implementation of Microsoft’s end-to-end customer experience. Come join CE&S and help us build a future where customers come to us not only because we provide industry-leading products and services, but also because we provide a differentiated and connected customer experience. The Global Customer Success (GCS) organization is leading the effort to create the desired customer experience through support offer creation, driving digital transformation across our tools, and delivering operational excellence across CE&S. • Use the unique experiences of Microsoft Incident Response to create unique storytelling moments • 5+ years experience in software development lifecycle, large-scale computing, modeling, cybersecurity, and/or anomaly detection • 3+ years of experience with Threat Actor containment during an incident, rapid recovery of critical infrastructure (primarily Active Directory rebuild and restoration), and eviction of a Threat Actor after an investigation • 6+ years experience in software development lifecycle, large-scale computing, modeling, cybersecurity, and/or anomaly detection • Experience in PowerShell and bash scripting • Experience with third-party security products, including but not limited to, Splunk, CrowdStrike Falcon, QRadar, etc. • Experience with Microsoft Public Key Infrastructure (PKI) implementations, Active Directory Federation Services (AD FS) • Experience with two or more of Microsoft’s portfolio of Artificial Intelligence (AI) products such as Security Copilot, Bing Copilot, Github Copilot, Office Copilot and Windows Copilot • Experience with management of virtualization platforms such as Hyper-V, VMware, etc. • Experience with IP network management including routing, firewalls, access control lists, DHCP, packet analysis, and troubleshooting network traffic flow",No,No,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-infrastructure-engineer-microsoft-JV_KO0,37_KE38,47.htm?jl=1009407609084&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
IT CYBERSECURITY ENGINEER,City of Amarillo,Amarillo,TX,US,23/09/2024,"KNOWLEDGE, SKILLS, AND ABILITIES
• Ability to investigate attacks to find root causes, Preferred certifications: Certified Information Systems Security Professional (CISSP), Information Systems Security Architecture Professional (ISSAP), Certified Information Security Manager (CISM), Certified Ethical Hacker, Offensive Security Certified Professional (OSCP), CompTIA Network Security+, CompTIA Security+, • Critical thinking and problem-solving skills
• Understanding of next-gen firewalls, routers, switches
• Knowledge of EDR, XDR, MDR, and SIEM, • Social Engineering skills
• Strong verbal and written communication skills

ADA PROFILE

Reasonable accommodation will be made to enable individuals with disabilities to perform the essential functions of this position","ESSENTIAL RESPONSIBILITIES • Remains current on industry security standards/best practices, cyber security topics, and compliance as it relates to Criminal Justice Information Services (CJIS), Health Insurance Portability and Accountability Act (HIPAA), Payment Card Industry (PCI), and transportation cybersecurity • Maintains security equipment and identifies, authors, and implements user, network, and system security policies • Proactively maintains tools for monitoring, support, and reporting • Works closely with city departments to identify risks, threats, and security vulnerabilities, provide guidance, and track remediation efforts • Perform security, vulnerability, and risk assessments of critical systems, infrastructure, applications, and third-party partners • Provides recommendations and action plans based on vulnerability and gap assessments • Assists with managing the IT Governance policies and processes • Participates in project planning and management across multiple efforts • Evaluates, develops and recommend security products and platforms to provide cost-effective solutions • Manages formal security training courses and creates campaigns to help educate users and reduce risk • Incident response experience, particularly leading incident investigations • Manages and directs various IT vendor and contractor-related tasks • Makes recommendations that impact the department budget • Assists in the competitive procurement processes, writes bid specifications, assists in the evaluation of proposals, and makes recommendations for bid awards as needed • Performs other job-related duties as assigned","• Incident response experience, particularly leading incident investigations Requires a bachelor's degree in information technology or a related field, or a minimum of three years of security experience, or an equivalent combination of education/experience implementing and maintaining information security systems and analysis, security programs, and projects. Solid work experience in the administration and performance of security systems and tools and a solid knowledge of infrastructure, systems, and application operations. • Experience with handling complex network architectures.",No,No,Yes,No,"https://www.glassdoor.com/job-listing/it-cybersecurity-engineer-city-of-amarillo-JV_IC1139740_KO0,25_KE26,42.htm?jl=1009292107515&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Analyst,New York Yankees,,NY,US,26/08/2024,"Primary Responsibilities:
• Monitor all networks and endpoints for security threats and breaches
• Investigate incidents and respond to threats in real time
• Perform periodic risk assessments and penetration testing
• Identify and fix vulnerabilities
• Assist in the development and promoting of cybersecurity best practices
• Install, configure, and maintain cyber security platforms and tools

Qualifications and Experience:
• Bachelor’s degree in computer science, cyber security, or a related field, or equivalent training and work experience
• 3+ years of experience working in a cyber security or other relevant role
• Must have experience with security technologies including endpoint protection, SIEM, IDPs, email security platforms, CASB/DLP, and identity management platforms
• Ability to write succinct code with optimal performance and simplicity
• Excellent communication skills
• Excellent problem-solving skills with the ability to execute tasks with little guidance
• Must have an understanding of typical enterprise networks (wired and wireless), firewalls, and VPN

This description is intended to describe the type of work being performed by a person assigned to this position","Primary Responsibilities: • Monitor all networks and endpoints for security threats and breaches • Investigate incidents and respond to threats in real time • Perform periodic risk assessments and penetration testing • Identify and fix vulnerabilities • Assist in the development and promoting of cybersecurity best practices • Install, configure, and maintain cyber security platforms and tools  Qualifications and Experience: • Bachelor’s degree in computer science, cyber security, or a related field, or equivalent training and work experience • 3+ years of experience working in a cyber security or other relevant role • Must have experience with security technologies including endpoint protection, SIEM, IDPs, email security platforms, CASB/DLP, and identity management platforms • Ability to write succinct code with optimal performance and simplicity • Excellent communication skills • Excellent problem-solving skills with the ability to execute tasks with little guidance • Must have an understanding of typical enterprise networks (wired and wireless), firewalls, and VPN  This description is intended to describe the type of work being performed by a person assigned to this position. It is not an exhaustive list of all duties and responsibilities required of the employee. The New York Yankees are an Equal Opportunity Employer. The Company is committed to the principles of equal employment opportunity for all employees and applicants for employment.  The base annual salary for this position is $80,000 – $100,000, plus a comprehensive benefits package.","The New York Yankees Information Technology department is accepting applications for an experienced Cyber Security Analyst. The Cyber Security Analyst will be responsible for protecting the company’s hardware, software, and networks from theft, loss, or unauthorized access. This position will assist in identifying any flaws in existing security systems and proactively develop solutions. Qualifications and Experience: • Bachelor’s degree in computer science, cyber security, or a related field, or equivalent training and work experience • 3+ years of experience working in a cyber security or other relevant role • Must have experience with security technologies including endpoint protection, SIEM, IDPs, email security platforms, CASB/DLP, and identity management platforms",Yes,No,No,No,"https://www.glassdoor.com/job-listing/cyber-security-analyst-new-york-yankees-JV_IC1132197_KO0,22_KE23,39.htm?jl=1009420811495&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
